,url
211,https://www.skysports.com/football/juventus-vs-real-madrid/388720
212,https://www.skysports.com/football/sevilla-vs-bayern-munich/388722
213,https://www.skysports.com/football/besiktas-vs-bayern-munich/386490
214,https://www.skysports.com/football/barcelona-vs-chelsea/386489
215,https://www.skysports.com/football/manchester-united-vs-sevilla/386493
216,https://www.skysports.com/football/roma-vs-shakhtar-donetsk/386495
217,https://www.skysports.com/football/manchester-city-vs-basel/386492
218,https://www.skysports.com/football/tottenham-hotspur-vs-juventus/386496
219,https://www.skysports.com/football/liverpool-vs-fc-porto/386491
220,https://www.skysports.com/football/paris-saint-germain-vs-real-madrid/386494
221,https://www.skysports.com/football/sevilla-vs-manchester-united/386487
222,https://www.skysports.com/football/shakhtar-donetsk-vs-roma/386488
223,https://www.skysports.com/football/bayern-munich-vs-besiktas/386483
224,https://www.skysports.com/football/chelsea-vs-barcelona/386482
225,https://www.skysports.com/football/fc-porto-vs-liverpool/386484
226,https://www.skysports.com/football/real-madrid-vs-paris-saint-germain/386486
227,https://www.skysports.com/football/basel-vs-manchester-city/386481
228,https://www.skysports.com/football/juventus-vs-tottenham-hotspur/386485
229,https://www.skysports.com/football/fc-porto-vs-monaco/384332
230,https://www.skysports.com/football/feyenoord-vs-napoli/384333
231,https://www.skysports.com/football/liverpool-vs-spartak-moscow/384334
232,https://www.skysports.com/football/maribor-vs-sevilla/384335
233,https://www.skysports.com/football/rb-leipzig-vs-besiktas/384336
234,https://www.skysports.com/football/real-madrid-vs-borussia-dortmund/384337
235,https://www.skysports.com/football/shakhtar-donetsk-vs-manchester-city/384338
236,https://www.skysports.com/football/tottenham-hotspur-vs-apoel-nicosia/384339
237,https://www.skysports.com/football/barcelona-vs-sporting-lisbon/384324
238,https://www.skysports.com/football/bayern-munich-vs-paris-saint-germain/384328
239,https://www.skysports.com/football/benfica-vs-basel/384325
240,https://www.skysports.com/football/celtic-vs-anderlecht/384326
241,https://www.skysports.com/football/chelsea-vs-atletico-madrid/384327
242,https://www.skysports.com/football/manchester-united-vs-cska-moscow/384329
243,https://www.skysports.com/football/olympiakos-fc-vs-juventus/384330
244,https://www.skysports.com/football/roma-vs-qarabag-fk/384331
245,https://www.skysports.com/football/cska-moscow-vs-benfica/384318
246,https://www.skysports.com/football/qarabag-fk-vs-chelsea/384319
247,https://www.skysports.com/football/anderlecht-vs-bayern-munich/384322
248,https://www.skysports.com/football/atletico-madrid-vs-roma/384316
249,https://www.skysports.com/football/basel-vs-manchester-united/384317
250,https://www.skysports.com/football/juventus-vs-barcelona/384320
251,https://www.skysports.com/football/paris-saint-germain-vs-celtic/384321
252,https://www.skysports.com/football/sporting-lisbon-vs-olympiakos-fc/384323
253,https://www.skysports.com/football/besiktas-vs-fc-porto/384309
254,https://www.skysports.com/football/spartak-moscow-vs-maribor/384315
255,https://www.skysports.com/football/apoel-nicosia-vs-real-madrid/384308
256,https://www.skysports.com/football/borussia-dortmund-vs-tottenham-hotspur/384310
257,https://www.skysports.com/football/manchester-city-vs-feyenoord/384311
258,https://www.skysports.com/football/monaco-vs-rb-leipzig/384312
259,https://www.skysports.com/football/napoli-vs-shakhtar-donetsk/384313
260,https://www.skysports.com/football/sevilla-vs-liverpool/384314
261,https://www.skysports.com/football/besiktas-vs-monaco/384300
262,https://www.skysports.com/football/borussia-dortmund-vs-apoel-nicosia/384301
263,https://www.skysports.com/football/fc-porto-vs-rb-leipzig/384302
264,https://www.skysports.com/football/liverpool-vs-maribor/384303
265,https://www.skysports.com/football/napoli-vs-manchester-city/384304
266,https://www.skysports.com/football/sevilla-vs-spartak-moscow/384305
267,https://www.skysports.com/football/shakhtar-donetsk-vs-feyenoord/384306
268,https://www.skysports.com/football/tottenham-hotspur-vs-real-madrid/384307
269,https://www.skysports.com/football/atletico-madrid-vs-qarabag-fk/384292
270,https://www.skysports.com/football/basel-vs-cska-moscow/384293
271,https://www.skysports.com/football/celtic-vs-bayern-munich/384294
272,https://www.skysports.com/football/manchester-united-vs-benfica/384295
273,https://www.skysports.com/football/olympiakos-fc-vs-barcelona/384296
274,https://www.skysports.com/football/paris-saint-germain-vs-anderlecht/384297
275,https://www.skysports.com/football/roma-vs-chelsea/384298
276,https://www.skysports.com/football/sporting-lisbon-vs-juventus/384299
277,https://www.skysports.com/football/qarabag-fk-vs-atletico-madrid/384289
278,https://www.skysports.com/football/anderlecht-vs-paris-saint-germain/384291
279,https://www.skysports.com/football/barcelona-vs-olympiakos-fc/384284
280,https://www.skysports.com/football/bayern-munich-vs-celtic/384288
281,https://www.skysports.com/football/benfica-vs-manchester-united/384285
282,https://www.skysports.com/football/cska-moscow-vs-basel/384286
283,https://www.skysports.com/football/chelsea-vs-roma/384287
284,https://www.skysports.com/football/juventus-vs-sporting-lisbon/384290
285,https://www.skysports.com/football/apoel-nicosia-vs-borussia-dortmund/384276
286,https://www.skysports.com/football/feyenoord-vs-shakhtar-donetsk/384277
287,https://www.skysports.com/football/manchester-city-vs-napoli/384278
288,https://www.skysports.com/football/maribor-vs-liverpool/384279
289,https://www.skysports.com/football/monaco-vs-besiktas/384280
290,https://www.skysports.com/football/rb-leipzig-vs-fc-porto/384281
291,https://www.skysports.com/football/real-madrid-vs-tottenham-hotspur/384282
292,https://www.skysports.com/football/spartak-moscow-vs-sevilla/384283
293,https://www.skysports.com/football/qarabag-fk-vs-roma/384271
294,https://www.skysports.com/football/anderlecht-vs-celtic/384274
295,https://www.skysports.com/football/atletico-madrid-vs-chelsea/384268
296,https://www.skysports.com/football/basel-vs-benfica/384269
297,https://www.skysports.com/football/cska-moscow-vs-manchester-united/384270
298,https://www.skysports.com/football/juventus-vs-olympiakos-fc/384272
299,https://www.skysports.com/football/paris-saint-germain-vs-bayern-munich/384273
300,https://www.skysports.com/football/sporting-lisbon-vs-barcelona/384275
301,https://www.skysports.com/football/apoel-nicosia-vs-tottenham-hotspur/384260
302,https://www.skysports.com/football/besiktas-vs-rb-leipzig/384261
303,https://www.skysports.com/football/borussia-dortmund-vs-real-madrid/384262
304,https://www.skysports.com/football/manchester-city-vs-shakhtar-donetsk/384263
305,https://www.skysports.com/football/monaco-vs-fc-porto/384264
306,https://www.skysports.com/football/napoli-vs-feyenoord/384265
307,https://www.skysports.com/football/sevilla-vs-maribor/384266
308,https://www.skysports.com/football/spartak-moscow-vs-liverpool/384267
309,https://www.skysports.com/football/fc-porto-vs-besiktas/384252
310,https://www.skysports.com/football/feyenoord-vs-manchester-city/384253
311,https://www.skysports.com/football/liverpool-vs-sevilla/384254
312,https://www.skysports.com/football/maribor-vs-spartak-moscow/384255
313,https://www.skysports.com/football/rb-leipzig-vs-monaco/384256
314,https://www.skysports.com/football/real-madrid-vs-apoel-nicosia/384257
315,https://www.skysports.com/football/shakhtar-donetsk-vs-napoli/384258
316,https://www.skysports.com/football/tottenham-hotspur-vs-borussia-dortmund/384259
317,https://www.skysports.com/football/barcelona-vs-juventus/384244
318,https://www.skysports.com/football/bayern-munich-vs-anderlecht/384248
319,https://www.skysports.com/football/benfica-vs-cska-moscow/384245
320,https://www.skysports.com/football/celtic-vs-paris-saint-germain/384246
321,https://www.skysports.com/football/chelsea-vs-qarabag-fk/384247
322,https://www.skysports.com/football/manchester-united-vs-basel/384249
323,https://www.skysports.com/football/olympiakos-fc-vs-sporting-lisbon/384250
324,https://www.skysports.com/football/roma-vs-atletico-madrid/384251
325,https://www.skysports.com/football/cska-moscow-vs-bsc-young-boys-bern/383881
326,https://www.skysports.com/football/fc-copenhagen-vs-qarabag-fk/383883
327,https://www.skysports.com/football/fc-steaua-bucuresti-vs-sporting-lisbon/383884
328,https://www.skysports.com/football/liverpool-vs-hoffenheim/383886
329,https://www.skysports.com/football/slavia-prague-vs-apoel-nicosia/383890
330,https://www.skysports.com/football/astana-vs-celtic/383882
331,https://www.skysports.com/football/maribor-vs-hapoel-beer-sheva/383887
332,https://www.skysports.com/football/nice-vs-napoli/383888
333,https://www.skysports.com/football/rijeka-vs-olympiakos-fc/383885
334,https://www.skysports.com/football/sevilla-vs-istanbul-buyuksehir/383889
335,https://www.skysports.com/football/celtic-vs-astana/383872
336,https://www.skysports.com/football/hapoel-beer-sheva-vs-maribor/383874
337,https://www.skysports.com/football/istanbul-buyuksehir-vs-sevilla/383875
338,https://www.skysports.com/football/napoli-vs-nice/383876
339,https://www.skysports.com/football/olympiakos-fc-vs-rijeka/383877
340,https://www.skysports.com/football/qarabag-fk-vs-fc-copenhagen/383873
341,https://www.skysports.com/football/apoel-nicosia-vs-slavia-prague/383871
342,https://www.skysports.com/football/bsc-young-boys-bern-vs-cska-moscow/383880
343,https://www.skysports.com/football/hoffenheim-vs-liverpool/383879
344,https://www.skysports.com/football/sporting-lisbon-vs-fc-steaua-bucuresti/383878
345,https://www.skysports.com/football/apoel-nicosia-vs-viitorul-constanta/380827
346,https://www.skysports.com/football/bate-borisov-vs-slavia-prague/380828
347,https://www.skysports.com/football/cska-moscow-vs-aek-athens/380823
348,https://www.skysports.com/football/istanbul-buyuksehir-vs-club-brugge/380824
349,https://www.skysports.com/football/fc-copenhagen-vs-vardar/382527
350,https://www.skysports.com/football/bsc-young-boys-bern-vs-dynamo-kiev/380830
351,https://www.skysports.com/football/fc-viktoria-plzen-vs-fc-steaua-bucuresti/380829
352,https://www.skysports.com/football/fh-hafnarfjardar-vs-maribor/382531
353,https://www.skysports.com/football/ludogorets-vs-hapoel-beer-sheva/382534
354,https://www.skysports.com/football/ajax-vs-nice/380822
355,https://www.skysports.com/football/legia-warsaw-vs-astana/380826
356,https://www.skysports.com/football/olympiakos-fc-vs-partizan-belgrade/380825
357,https://www.skysports.com/football/rijeka-vs-red-bull-salzburg/382532
358,https://www.skysports.com/football/rosenborg-vs-celtic/382537
359,https://www.skysports.com/football/sheriff-tiraspol-mol-vs-qarabag-fk/382533
360,https://www.skysports.com/football/astana-vs-legia-warsaw/382526
361,https://www.skysports.com/football/dynamo-kiev-vs-bsc-young-boys-bern/380815
362,https://www.skysports.com/football/red-bull-salzburg-vs-rijeka/382529
363,https://www.skysports.com/football/hapoel-beer-sheva-vs-ludogorets/382530
364,https://www.skysports.com/football/viitorul-constanta-vs-apoel-nicosia/380821
365,https://www.skysports.com/football/maribor-vs-fh-hafnarfjardar/380820
366,https://www.skysports.com/football/celtic-vs-rosenborg/382536
367,https://www.skysports.com/football/nice-vs-ajax/380817
368,https://www.skysports.com/football/club-brugge-vs-istanbul-buyuksehir/380814
369,https://www.skysports.com/football/qarabag-fk-vs-sheriff-tiraspol-mol/382528
370,https://www.skysports.com/football/slavia-prague-vs-bate-borisov/380818
371,https://www.skysports.com/football/aek-athens-vs-cska-moscow/380813
372,https://www.skysports.com/football/fc-steaua-bucuresti-vs-fc-viktoria-plzen/380816
373,https://www.skysports.com/football/vardar-vs-fc-copenhagen/382535
374,https://www.skysports.com/football/partizan-belgrade-vs-olympiakos-fc/380819
375,https://www.skysports.com/football/f91-dudelange-vs-apoel-nicosia/373923
376,https://www.skysports.com/football/rosenborg-vs-dundalk/373931
377,https://www.skysports.com/football/fc-copenhagen-vs-msk-zilina/373924
378,https://www.skysports.com/football/fk-kukesi-vs-sheriff-tiraspol-mol/373927
379,https://www.skysports.com/football/ludogorets-vs-vmfd-zalgiris/373929
380,https://www.skysports.com/football/maribor-vs-zrinjski-mostar/373930
381,https://www.skysports.com/football/red-bull-salzburg-vs-hibernians/373925
382,https://www.skysports.com/football/celtic-vs-linfield/373922
383,https://www.skysports.com/football/legia-warsaw-vs-ifk-mariehamn/373928
384,https://www.skysports.com/football/budapest-honved-vs-hapoel-beer-sheva/373920
385,https://www.skysports.com/football/astana-vs-fk-spartaks-jurmala/373932
386,https://www.skysports.com/football/alashkert-fc-vs-bate-borisov/373933
387,https://www.skysports.com/football/vardar-vs-malmo-ff/373936
388,https://www.skysports.com/football/fc-samtredia-vs-qarabag-fk/373926
389,https://www.skysports.com/football/the-new-saints-fc-vs-rijeka/373935
390,https://www.skysports.com/football/vikingur-vs-fh-hafnarfjardar/373934
391,https://www.skysports.com/football/buducnost-podgorica-vs-partizan-belgrade/373921
392,https://www.skysports.com/football/linfield-vs-celtic/373916
393,https://www.skysports.com/football/fk-spartaks-jurmala-vs-astana/373906
394,https://www.skysports.com/football/apoel-nicosia-vs-f91-dudelange/373903
395,https://www.skysports.com/football/hapoel-beer-sheva-vs-budapest-honved/373910
396,https://www.skysports.com/football/malmo-ff-vs-vardar/373913
397,https://www.skysports.com/football/sheriff-tiraspol-mol-vs-fk-kukesi/373915
398,https://www.skysports.com/football/zrinjski-mostar-vs-maribor/373919
399,https://www.skysports.com/football/bate-borisov-vs-alashkert-fc/373904
400,https://www.skysports.com/football/arsenal-vs-brighton-and-hove-albion/429207
401,https://www.skysports.com/football/aston-villa-vs-chelsea/429208
402,https://www.skysports.com/football/fulham-vs-newcastle-united/429209
403,https://www.skysports.com/football/leeds-united-vs-west-bromwich-albion/429210
404,https://www.skysports.com/football/leicester-city-vs-tottenham-hotspur/429211
405,https://www.skysports.com/football/liverpool-vs-crystal-palace/429212
406,https://www.skysports.com/football/manchester-city-vs-everton/429213
407,https://www.skysports.com/football/sheffield-united-vs-burnley/429214
408,https://www.skysports.com/football/west-ham-united-vs-southampton/429215
409,https://www.skysports.com/football/wolverhampton-wanderers-vs-manchester-united/429216
410,https://www.skysports.com/football/everton-vs-wolverhampton-wanderers/429201
411,https://www.skysports.com/football/newcastle-united-vs-sheffield-united/429203
412,https://www.skysports.com/football/tottenham-hotspur-vs-aston-villa/429205
413,https://www.skysports.com/football/crystal-palace-vs-arsenal/429200
414,https://www.skysports.com/football/burnley-vs-liverpool/429198
415,https://www.skysports.com/football/west-bromwich-albion-vs-west-ham-united/429206
416,https://www.skysports.com/football/manchester-united-vs-fulham/429202
417,https://www.skysports.com/football/southampton-vs-leeds-united/429204
418,https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-city/429197
419,https://www.skysports.com/football/chelsea-vs-leicester-city/429199
420,https://www.skysports.com/football/crystal-palace-vs-aston-villa/429193
421,https://www.skysports.com/football/tottenham-hotspur-vs-wolverhampton-wanderers/429196
