,player0,rating0,player1,rating1,player2,rating2,player3,rating3,player4,rating4,player5,rating5,player6,rating6,player7,rating7,player8,rating8,player9,rating9,player10,rating10,player11,rating11,player12,rating12,player13,rating13,player14,rating14,player15,rating15,player16,rating16,player17,rating17,player18,rating18,player19,rating19,player20,rating20,player21,rating21,player22,rating22,player23,rating23,player24,rating24,player25,rating25,player26,rating26,player27,rating27,player28,rating28,player29,rating29,player30,rating30,player31,rating31,player32,rating32,player33,rating33,words,u_words,sents,word1,word_count1,word2,word_count2,word3,word_count3,word4,word_count4,word5,word_count5,word6,word_count6,word7,word_count7,word8,word_count8,word9,word_count9,word10,word_count10
180,DeGea,True,Smalling,True,Jones,True,Valencia,True,Shaw,True,Matic,True,Pogba,True,Mata,True,Lingard,True,Lukaku,True,Martial,True,Rashford,False,Fellaini,False,McTominay,False,Butland,False,Bauer,False,Zouma,False,Martins-Indi,False,Tymon,False,Ireland,False,Allen,False,Shaqiri,False,Fletcher,False,Crouch,False,Choupo-Moting,False,Sobhi,False,Wimmer,False,Diouf,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,373,238,18,the,18,in,10,from,9,a,8,on,7,to,6,and,5,was,5,United,4,but,4
181,Elliot,False,Mbemba,False,Lascelles,False,Dummett,False,Yedlin,False,Shelvey,False,Diame,False,Manquillo,False,Murphy,False,Aarons,False,Joselu,False,Gayle,False,Merino,False,Atsu,False,Ederson,False,Walker,False,Kompany,False,Otamendi,True,Danilo,True,DeBruyne,True,Fernandinho,True,Gundogan,True,BernardoSilva,True,Sterling,True,Aguero,False,Jesus,False,Mangala,False,Sane,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,556,306,27,the,35,a,18,and,18,to,15,in,12,for,8,of,8,we,7,from,7,was,7
182,Karius,False,Gomez,True,Matip,False,Lovren,False,Robertson,True,Milner,False,Can,False,Coutinho,True,Salah,True,Firmino,False,Mane,False,Oxlade-Chamberlain,False,Wijnaldum,False,Klavan,False,Schmeichel,False,Amartey,True,Morgan,False,Maguire,False,Fuchs,False,Gray,False,Ndidi,False,Iborra,False,Albrighton,False,Mahrez,False,Vardy,False,Slimani,False,Okazaki,False,James,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,571,310,24,the,41,and,19,to,18,in,13,a,13,for,11,from,9,was,9,he,8,of,7
183,Begovic,False,Francis,False,SCook,True,Ake,True,Gosling,False,Smith,False,LCook,True,Fraser,True,King,False,Ibe,False,Wilson,False,Afobe,False,Adrian,True,Cresswell,False,Collins,True,Ogbonna,False,Zabaleta,False,Kouyate,False,Lanzini,True,Obiang,False,Masuaku,True,Ayew,False,Arnautovic,False,Carroll,False,Hernandez,False,Rice,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,840,392,36,the,61,to,30,a,20,and,20,in,15,it,15,was,14,for,11,of,11,his,9
184,Courtois,True,Rudiger,True,Azpilicueta,True,Cahill,False,Moses,True,Alonso,True,Fabregas,True,Hazard,True,Kante,True,Bakayoko,False,Morata,True,Drinkwater,False,Batshuayi,False,Willian,False,Ryan,True,Dunk,False,Duffy,False,Suttner,False,Schelotto,False,Stephens,False,March,False,Kayal,False,Propper,False,Izquierdo,False,Hemed,False,Knockaert,False,Murray,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,314,196,13,the,19,a,11,to,10,in,7,and,6,on,6,Chelsea,5,was,5,Brighton,4,but,4
185,Lossl,True,Smith,True,Zanka,False,Schindler,False,Lowe,False,VanLaParra,False,Hogg,True,Mooy,True,Ince,True,Quaner,True,Mounie,False,Lolley,False,Malone,False,Depoitre,False,Butland,True,Zouma,True,Shawcross,False,Wimmer,True,Cameron,True,Edwards,True,Fletcher,True,Allen,True,Shaqiri,False,Crouch,True,Choupo-Moting,True,Sobhi,True,Diouf,False,Adam,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,498,305,23,the,39,a,16,in,14,on,10,to,9,Stoke,7,with,7,and,6,as,6,at,6
186,DeGea,False,Young,True,Jones,False,Rojo,False,Shaw,False,Mata,False,Pogba,False,Matic,False,Rashford,False,Ibrahimovic,False,Lukaku,False,Lingard,True,Mkhitaryan,False,Pope,False,Bardsley,True,Mee,True,Long,True,Taylor,False,Gudmundsson,True,Defour,True,Cork,False,Arfield,True,Hendrick,False,Barnes,True,Vokes,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,636,361,31,the,37,and,19,to,16,in,14,a,14,on,12,from,11,at,11,for,9,of,9
187,Gomes,True,Janmaat,False,Kabasele,True,Wague,True,Watson,False,Cleverley,True,Doucoure,True,Zeegelaar,False,Carrillo,True,Pereyra,False,Richarlison,False,Okaka,False,Sinclair,False,Schmeichel,False,Chilwell,False,Morgan,False,Maguire,False,Dragovic,False,King,False,Albrighton,False,Ndidi,False,Okazaki,False,Vardy,False,Mahrez,True,Slimani,False,Ulloa,False,Gray,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,794,417,42,the,54,to,24,a,21,on,15,of,14,in,12,was,12,but,11,and,11,Leicester,10
188,Foster,False,Dawson,False,Evans,False,Hegazi,False,Gibbs,True,Phillips,False,Livermore,False,Barry,False,Brunt,False,Rodriguez,False,Rondon,False,Krychowiak,False,Robson-Kanu,False,Pickford,True,Keane,True,Williams,True,Holgate,True,Kenny,True,Davies,False,Schneiderlin,False,Martina,False,Bolaise,False,Sigurdsson,False,Calvert-Lewin,False,Lennon,False,Niasse,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,455,280,19,the,27,to,18,a,9,of,9,and,7,on,7,Everton,6,as,6,were,5,in,5
189,Pickford,True,Keane,True,Jagielka,True,Kenny,True,Martina,True,Schneiderlin,True,Lennon,False,Gueye,False,Davies,False,Sigurdsson,False,Calvert-Lewin,False,Williams,False,Sandro,False,Baningime,False,Courtois,False,Rudiger,False,Christensen,False,Azpilicueta,False,Alonso,True,Moses,True,Kante,False,Bakayoko,False,Willian,False,Hazard,False,Pedro,False,Fabregas,False,Batshuayi,False,Zappacosta,False,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,<PAD>,801,404,40,the,48,and,28,a,27,to,23,on,17,of,15,from,12,not,11,but,9,in,9
